Item,Category,Brand,Supplier,UnitCost
Keyboard Model 445,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 446,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 447,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 448,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 449,Electronics,BrandB,SupplierX,10.01
Mouse Model 450,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 451,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 452,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 453,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 454,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 455,Electronics,BrandB,SupplierX,10.01
Mouse Model 456,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 457,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 458,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 459,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 460,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 461,Electronics,BrandB,SupplierX,10.01
Mouse Model 462,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 463,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 464,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 465,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 466,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 467,Electronics,BrandB,SupplierX,10.01
Mouse Model 468,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 469,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 470,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 471,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 472,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 473,Electronics,BrandB,SupplierX,10.01
Mouse Model 474,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 475,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 476,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 477,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 478,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 479,Electronics,BrandB,SupplierX,10.01
Mouse Model 480,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 481,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 482,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 483,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 484,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 485,Electronics,BrandB,SupplierX,10.01
Mouse Model 486,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 487,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 488,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 489,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 490,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 491,Electronics,BrandB,SupplierX,10.01
Mouse Model 492,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 493,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 494,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 495,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 496,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 497,Electronics,BrandB,SupplierX,10.01
Mouse Model 498,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 499,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 500,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 501,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 502,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 503,Electronics,BrandB,SupplierX,10.01
Mouse Model 504,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 505,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 506,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 507,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 508,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 509,Electronics,BrandB,SupplierX,10.01
Mouse Model 510,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 511,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 512,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 513,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 514,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 515,Electronics,BrandB,SupplierX,10.01
Mouse Model 516,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 517,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 518,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 519,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 520,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 521,Electronics,BrandB,SupplierX,10.01
Mouse Model 522,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 523,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 524,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 525,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 526,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 527,Electronics,BrandB,SupplierX,10.01
Mouse Model 528,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 529,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 530,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 531,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 532,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 533,Electronics,BrandB,SupplierX,10.01
Mouse Model 534,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 535,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 536,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 537,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 538,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 539,Electronics,BrandB,SupplierX,10.01
Mouse Model 540,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 541,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 542,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 543,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 544,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 545,Electronics,BrandB,SupplierX,10.01
Mouse Model 546,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 547,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 548,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 549,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 550,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 551,Electronics,BrandB,SupplierX,10.01
Mouse Model 552,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 553,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 554,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 555,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 556,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 557,Electronics,BrandB,SupplierX,10.01
Mouse Model 558,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 559,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 560,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 561,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 562,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 563,Electronics,BrandB,SupplierX,10.01
Mouse Model 564,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 565,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 566,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 567,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 568,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 569,Electronics,BrandB,SupplierX,10.01
Mouse Model 570,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 571,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 572,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 573,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 574,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 575,Electronics,BrandB,SupplierX,10.01
Mouse Model 576,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 577,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 578,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 579,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 580,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 581,Electronics,BrandB,SupplierX,10.01
Mouse Model 582,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 583,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 584,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 585,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 586,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 587,Electronics,BrandB,SupplierX,10.01
Mouse Model 588,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 589,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 590,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 591,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 592,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 593,Electronics,BrandB,SupplierX,10.01
Mouse Model 594,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 595,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 596,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 597,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 598,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 599,Electronics,BrandB,SupplierX,10.01
Mouse Model 600,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 601,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 602,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 603,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 604,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 605,Electronics,BrandB,SupplierX,10.01
Mouse Model 606,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 607,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 608,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 609,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 610,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 611,Electronics,BrandB,SupplierX,10.01
Mouse Model 612,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 613,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 614,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 615,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 616,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 617,Electronics,BrandB,SupplierX,10.01
Mouse Model 618,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 619,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 620,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 621,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 622,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 623,Electronics,BrandB,SupplierX,10.01
Mouse Model 624,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 625,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 626,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 627,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 628,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 629,Electronics,BrandB,SupplierX,10.01
Mouse Model 630,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 631,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 632,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 633,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 634,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 635,Electronics,BrandB,SupplierX,10.01
Mouse Model 636,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 637,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 638,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 639,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 640,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 641,Electronics,BrandB,SupplierX,10.01
Mouse Model 642,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 643,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 644,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 645,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 646,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 647,Electronics,BrandB,SupplierX,10.01
Mouse Model 648,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 649,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 650,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 651,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 652,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 653,Electronics,BrandB,SupplierX,10.01
Mouse Model 654,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 655,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 656,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 657,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 658,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 659,Electronics,BrandB,SupplierX,10.01
Mouse Model 660,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 661,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 662,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 663,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 664,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 665,Electronics,BrandB,SupplierX,10.01
Mouse Model 666,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 667,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 668,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 669,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 670,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 671,Electronics,BrandB,SupplierX,10.01
Mouse Model 672,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 673,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 674,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 675,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 676,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 677,Electronics,BrandB,SupplierX,10.01
Mouse Model 678,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 679,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 680,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 681,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 682,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 683,Electronics,BrandB,SupplierX,10.01
Mouse Model 684,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 685,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 686,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 687,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 688,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 689,Electronics,BrandB,SupplierX,10.01
Mouse Model 690,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 691,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 692,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 693,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 694,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 695,Electronics,BrandB,SupplierX,10.01
Mouse Model 696,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 697,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 698,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 699,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 700,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 701,Electronics,BrandB,SupplierX,10.01
Mouse Model 702,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 703,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 704,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 705,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 706,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 707,Electronics,BrandB,SupplierX,10.01
Mouse Model 708,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 709,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 710,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 711,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 712,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 713,Electronics,BrandB,SupplierX,10.01
Mouse Model 714,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 715,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 716,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 717,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 718,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 719,Electronics,BrandB,SupplierX,10.01
Mouse Model 720,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 721,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 722,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 723,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 724,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 725,Electronics,BrandB,SupplierX,10.01
Mouse Model 726,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 727,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 728,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 729,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 730,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 731,Electronics,BrandB,SupplierX,10.01
Mouse Model 732,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 733,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 734,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 735,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 736,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 737,Electronics,BrandB,SupplierX,10.01
Mouse Model 738,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 739,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 740,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 741,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 742,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 743,Electronics,BrandB,SupplierX,10.01
Mouse Model 744,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 745,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 746,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 747,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 748,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 749,Electronics,BrandB,SupplierX,10.01
Mouse Model 750,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 751,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 752,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 753,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 754,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 755,Electronics,BrandB,SupplierX,10.01
Mouse Model 756,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 757,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 758,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 759,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 760,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 761,Electronics,BrandB,SupplierX,10.01
Mouse Model 762,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 763,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 764,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 765,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 766,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 767,Electronics,BrandB,SupplierX,10.01
Mouse Model 768,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 769,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 770,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 771,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 772,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 773,Electronics,BrandB,SupplierX,10.01
Mouse Model 774,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 775,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 776,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 777,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 778,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 779,Electronics,BrandB,SupplierX,10.01
Mouse Model 780,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 781,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 782,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 783,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 784,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 785,Electronics,BrandB,SupplierX,10.01
Mouse Model 786,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 787,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 788,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 789,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 790,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 791,Electronics,BrandB,SupplierX,10.01
Mouse Model 792,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 793,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 794,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 795,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 796,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 797,Electronics,BrandB,SupplierX,10.01
Mouse Model 798,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 799,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 800,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 801,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 802,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 803,Electronics,BrandB,SupplierX,10.01
Mouse Model 804,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 805,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 806,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 807,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 808,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 809,Electronics,BrandB,SupplierX,10.01
Mouse Model 810,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 811,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 812,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 813,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 814,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 815,Electronics,BrandB,SupplierX,10.01
Mouse Model 816,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 817,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 818,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 819,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 820,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 821,Electronics,BrandB,SupplierX,10.01
Mouse Model 822,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 823,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 824,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 825,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 826,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 827,Electronics,BrandB,SupplierX,10.01
Mouse Model 828,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 829,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 830,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 831,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 832,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 833,Electronics,BrandB,SupplierX,10.01
Mouse Model 834,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 835,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 836,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 837,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 838,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 839,Electronics,BrandB,SupplierX,10.01
Mouse Model 840,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 841,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 842,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 843,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 844,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 845,Electronics,BrandB,SupplierX,10.01
Mouse Model 846,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 847,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 848,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 849,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 850,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 851,Electronics,BrandB,SupplierX,10.01
Mouse Model 852,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 853,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 854,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 855,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 856,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 857,Electronics,BrandB,SupplierX,10.01
Mouse Model 858,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 859,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 860,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 861,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 862,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 863,Electronics,BrandB,SupplierX,10.01
Mouse Model 864,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 865,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 866,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 867,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 868,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 869,Electronics,BrandB,SupplierX,10.01
Mouse Model 870,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 871,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 872,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 873,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 874,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 875,Electronics,BrandB,SupplierX,10.01
Mouse Model 876,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 877,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 878,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 879,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 880,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 881,Electronics,BrandB,SupplierX,10.01
Mouse Model 882,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 883,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 884,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 885,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 886,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 887,Electronics,BrandB,SupplierX,10.01
Mouse Model 888,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 889,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 890,Office Supplies,BrandA,SupplierX,28.41
